Nombre,Tipo,Ubicación,pos x,pos y,Nivel de Ocupación,Dificultad de acceso,Puntuación Global,Geoname
Bajamar,Piscina,La Laguna,28.556.429,-16.344.606,Alto,1 / 5,⭐⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/bajamar.htm
Charco de Isla Cangrejo,Charco,Santiago del Teide,28.241.648,-16.842.554,Bajo,4 / 5,⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-isla-cangrejo.htm
Charco del viento,Charco,La Guancha,28.401.261,-16.673.878,Medio,4 / 5,⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-del-viento.htm
Charco de la araña,Charco,Los Silos,28.382.183,-16.816.355,Medio,4 / 5,⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-arana.htm
Charco Verde,Charco,La Guancha,28.400.933,-16.659.429,Medio,3 / 5,⭐⭐⭐,https://www.youtube.com/watch?v=wwrxq1GPxFM
Charco Don Gabino,Charco,Los Silos,28.379.631,-16.814.908,Bajo,2 / 5,⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-don-gabino.htm
Charco El Inglés,Charco,Los Silos,28.380.264,-16.800.828,Medio,3 / 5,⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-ingles.htm
Charco de la Laja,Charco,San Juan de la Rambla,28.396.067,-16.651.773,Medio,2 / 5,⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco+de+la+laja.htm
Charco los Chochos,Charco,San Juan de la Rambla,28.381.319,-16.814.820,Medio,2 / 5,⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-chochos.htm
Charco Juaniquín,Charco,Los Silos,28.378.604,-16.812.921,Bajo,3 / 5,⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-juaniquin.htm
El Caletón,Piscina Natural,Garachico,28.373.333,-16.765.613,Alto,1 / 5,⭐⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/el+caleton.htm
Charco Roque,Charco,Buenavista del Norte,28.370.608,-16.875.349,Medio,4 / 5,⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-roque.htm
Cueva el tacón,Cueva,Puerto Santiago,28.236.361,-16.844.660,Medio,4 / 5,⭐⭐,https://youtu.be/c5ndi0HeOO4
Charco del cumplido,Charco,Santa Cruz de Tenerife,28.375.681,-16.794.454,Alto,2 / 5,⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/charco-cumplido.htm
Piscina Natural El Pris,Piscina Natural,"El Pris, Santa Cruz de Tenerife",28.509.668,-16.421.595,Alto,1 / 5,⭐⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/piscina-natural-pris.htm
Charco de Jover,Charco,San Cristóbal de La Laguna,28.547.257,-16.370.501,Medio,2 / 5,⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/piscina-natural-jover.htm
Mesa del Mar ,Piscina Natural,Mesa del Mar ,28.504.083,-16.423.716,Alto,1 / 5,⭐⭐⭐⭐⭐,https://es.wikipedia.org/wiki/Mesa_del_Mar
Punta del Hidalgo,Piscina Natural,San Cristóbal de La Laguna,28.572.672,-16.331.392,Alto,1 / 5,⭐⭐⭐⭐⭐,http://www.webtenerife.com/que-visitar/piscinas-naturales/punta+del+hidalgo.htm
La Mareta,Charco,Icod de los Vinos,28.394.731,-16.694.421,Bajo,3 / 5,⭐⭐⭐,http://adondevamoshoytenerife.com/wp-content/uploads/2014/08/10606043_268898739973626_5851923425631863629_n.jpg
El Rayo,Charco,Buenavista del Norte,28.392.691,-16.832.689,Bajo,4 / 5,⭐⭐,http://adondevamoshoytenerife.com/sibora-el-rayo-los-silos-buenavista-del-norte/
La Jaquita,Piscina Natural,Alcalá - Guía de Isora,28.200.366,-16.828.449,Alto,1 / 5,⭐⭐⭐⭐⭐,https://www.youtube.com/watch?v=RRkb7QFx2UY
La Arena,Charco,La Guancha,28.396.067,-16.651.773,Medio,2 / 5,⭐⭐⭐,https://www.tripadvisor.es/LocationPhotoDirectLink-g1078430-d10003039-i194942444-Piscina_natural_Punta_del_Hidalgo-Punta_del_Hidalgo_Tenerife_Canary_Is.html