ows_LinkTitle,ows_Zona,ows_Georeferencia,posy,posx,ows_Municipio
Flor del Drago,Sur,"(28.2972603, -16.815625400000044)",28.2972603,-16.815625400000044,Santiago del Teide
Playa casa Pepe (La),Metropolitana,"(28.55493523464349, -16.345167517574737)",28.55493523464349, -16.345167517574737,San CristÃ³bal de la Laguna
CASA CHANO,Norte,"(28.3772211, -16.697435600000062)",28.3772211, -16.697435600000062,Icod de los Vinos
Perla(La),Isla Baja,"(28.373615813399617, -16.76473170518875)",28.373615813399617,-16.76473170518875,Garachico
AGUSTIN Y ROSA,Norte,"(28.3672347, -16.719647099999974)",28.3672347, -16.719647099999974,Icod de los Vinos
Gallego (El),Metropolitana,"(28.5529413, -16.343293200000062)",28.5529413,-16.343293200000062,San CristÃ³bal de la Laguna
Casa Tita,Metropolitana,"(28.5329313, -16.369390299999964)",28.5329313, -16.369390299999964,San CristÃ³bal de la Laguna
Arado (El),Norte,"(28.37464657026197, -16.652881619520485)",28.37464657026197,-16.652881619520485,Guancha (La)
Mirador (El),Isla Baja,"(28.373804612314885, -16.76327258348465)",28.373804612314885,-16.76327258348465,Garachico
Abogado (El),Metropolitana,"(28.5641946, -16.330816300000038)",28.5641946,-16.330816300000038,San CristÃ³bal de la Laguna
Cueva Jurada (El Papi),Norte,"(28.526363636800838, -16.351588033139706)",28.526363636800838, -16.351588033139706,Tegueste
Casa Gaspar,Isla Baja,"(28.374678835411885, -16.762784756720066)",28.374678835411885, -16.762784756720066,Garachico
Casa Chelo,Metropolitana,"(28.548036807604255, -16.34938430506736)",28.548036807604255,-16.34938430506736,San CristÃ³bal de la Laguna
la Tasca de Mario,Sur,"(28.2356938, -16.842256799999973)",28.2356938,-16.842256799999973,Santiago del Teide
Tamarco,Norte,"(28.522108005602735, -16.349962279200554)",28.522108005602735, -16.349962279200554,Tegueste
Nervioso (El),Norte,"(28.518686938602475, -16.363125890493393)",28.518686938602475,-16.363125890493393,Tegueste
CLAVELITO,Isla Baja,"(28.362367511782125, -16.845054477453232)",28.362367511782125, -16.845054477453232,Buenavista del Norte
MesÃ³n el Drago,Norte,"(28.514295625951423, -16.360141932964325)",28.514295625951423,-16.360141932964325,Tegueste
"CLAVELES, LOS",Isla Baja,"(28.374458030966856, -16.852321587502956)",28.374458030966856, -16.852321587502956,Buenavista del Norte
Ninos I,Sur,"(28.2972603, -16.815625400000044)",28.2972603, -16.815625400000044,Santiago del Teide
Ministro (El),Norte,"(28.520867944241164, -16.353615783154964)",28.520867944241164,-16.353615783154964,Tegueste
Zenobio,Norte,"(28.5241295733562, -16.342650912702084)",28.5241295733562,-16.342650912702084,Tegueste
Miranda's,Sur,"(28.2435098, -16.840449700000022)",28.2435098,-16.840449700000022,Santiago del Teide
"PARAISO, EL",Norte,"(28.354583159008445, -16.716948822140694)",28.354583159008445, -16.716948822140694,Icod de los Vinos
Aguas (Las),Norte,"(28.394828, -16.639281200000028)",28.394828,-16.639281200000028,San Juan de la Rambla
Bella Napoli,Sur,"(28.2972603, -16.815625400000044)",28.2972603,-16.815625400000044,Santiago del Teide
MontefrÃ­o,Norte,"(28.3717033, -16.655462199999988)",28.3717033,-16.655462199999988,Guancha (La)
Perla (La),Metropolitana,"(28.56854228184703, -16.326725003309548)",28.56854228184703,-16.326725003309548,San CristÃ³bal de la Laguna
CRUZ DE TOLEDO,Isla Baja,"(28.369794628136766, -16.85369487851858)",28.369794628136766,-16.85369487851858,Buenavista del Norte
"RINCON DE ICOD, EL",Norte,"(28.355604032213563, -16.715354919433593)",28.355604032213563, -16.715354919433593,Icod de los Vinos
"CABAÃ‘A, LA",Isla Baja,"(28.371469824614266, -16.85166595503688)",28.371469824614266,-16.85166595503688,Buenavista del Norte
Tasca PizzerÃ­a Maracay,Norte,"(28.3774746, -16.636081800000056)",28.3774746,-16.636081800000056,Guancha (La)
"FAROLES, LOS",Norte,"(28.358172104519987, -16.710548400878906)",28.358172104519987, -16.710548400878906,Icod de los Vinos
Erika,Metropolitana,"(28.553766680436862, -16.338054654188454)",28.553766680436862, -16.338054654188454,San CristÃ³bal de la Laguna
La Llovizna,Isla Baja,"(28.358548576810463, -16.77090547978878)",28.358548576810463,-16.77090547978878,Tanque (El)
"FRENAZO, EL",Norte,"(28.3702131, -16.694236300000057)",28.3702131,-16.694236300000057,Icod de los Vinos
"MARINO, EL",Isla Baja,"(28.36544684107893, -16.84543250128627)",28.36544684107893, -16.84543250128627,Buenavista del Norte
"REFUGIO, EL",Norte,"(28.35938058763789, -16.71192169189453)",28.35938058763789,-16.71192169189453,Icod de los Vinos
"PIMENTERA, LA",Isla Baja,"(28.319428154587396, -16.856377087533474)",28.319428154587396,-16.856377087533474,Buenavista del Norte
RÃ­os,Sur,"(28.2386098, -16.840959800000064)",28.2386098,-16.840959800000064,Santiago del Teide
Miramar,Isla Baja,"(28.372420398718727, -16.766280848532915)",28.372420398718727,-16.766280848532915,Garachico
"JUNQUITO, EL",Norte,"(28.3783164, -16.636084299999993)",28.3783164,-16.636084299999993,Icod de los Vinos
Tenerife,Sur,"(28.2658316, -16.817864800000052)",28.2658316, -16.817864800000052,Santiago del Teide
Tropic II,Sur,"(28.29638425185194, -16.81106686592102)",28.29638425185194,-16.81106686592102,Santiago del Teide
SabandeÃ±os (Los),Metropolitana,"(28.5031634, -16.32548429999997)",28.5031634,-16.32548429999997,San CristÃ³bal de la Laguna
Pinos (Los),Isla Baja,"(28.373087174649278, -16.765075027942657)",28.373087174649278, -16.765075027942657,Garachico
Ardeola,Isla Baja,"(28.374419091457952, -16.765078380703926)",28.374419091457952, -16.765078380703926,Garachico
la Bodeguita,Sur,"(28.2447971, -16.840809199999967)",28.2447971,-16.840809199999967,Santiago del Teide
PATAMERO,Isla Baja,"(28.333680245404008, -16.84268943965435)",28.333680245404008,-16.84268943965435,Buenavista del Norte
CASA CLUB CAMPO DE GOLF,Isla Baja,"(28.370055932207705, -16.861423244699836)",28.370055932207705, -16.861423244699836,Buenavista del Norte
Bar Restaurante Casa Riquelme,Isla Baja,"(28.30407840706908, -16.8365478515625)",28.30407840706908,-16.8365478515625,Buenavista del Norte
Restaurante Burga2,Isla Baja,"(28.36874586527231, -16.856117248535156)",28.36874586527231,-16.856117248535156,Buenavista del Norte
Restaurante Arlette,Isla Baja,"(28.30453182058756, -16.83757781982422)",28.30453182058756,-16.83757781982422,Buenavista del Norte
Restaurante La Fuente,Isla Baja,"(28.303776130316578, -16.835689544677734)",28.303776130316578,-16.835689544677734,Buenavista del Norte
El Mundial 82,Isla Baja,"(28.37627902703666, -16.795135259453673)",28.37627902703666,-16.795135259453673,Silos (Los)
Las Piscinas,Isla Baja,"(28.37956399773997, -16.813695788296172)",28.37956399773997, -16.813695788296172,Silos (Los)
La Escuela,Isla Baja,"(28.366366860955896, -16.819489717308898)",28.366366860955896, -16.819489717308898,Silos (Los)
Comidas La UniÃ³n,Isla Baja,"(28.362940753216098, -16.769651882350445)",28.362940753216098, -16.769651882350445,Tanque (El)
Vincci Buenavista Golf & Spa,Isla Baja,"(28.369624702705497, -16.859917603433132)",28.369624702705497,-16.859917603433132,Buenavista del Norte
Espacio GastronÃ³mico La CaÃ±ada,Isla Baja,"(28.372880084420704, -16.765878349542618)",28.372880084420704,-16.765878349542618,Garachico
Taskita (La),Isla Baja,"(28.373087174649278, -16.763615906238556)",28.373087174649278, -16.763615906238556,Garachico
Tasca del Vino (La),Isla Baja,"(28.37376685255872, -16.764216721057892)",28.37376685255872,-16.764216721057892,Garachico
BodegÃ³n Siete Islas,Norte,"(28.38173881799385, -16.673170566209592)",28.38173881799385,-16.673170566209592,Guancha (La)
Tasca BodegÃ³n (El),Norte,"(28.371927855041747, -16.659061429090798)",28.371927855041747,-16.659061429090798,Guancha (La)
Casa Teo,Norte,"(28.3742656, -16.65035320000004)",28.3742656,-16.65035320000004,Guancha (La)